"관광타입","음식점"
"음식점명","한라봉스시"
"개요","네이버 예약 마감 시 유선 예약은 불가하지만, 현장으로 오시면 매장 이용 가능하십니다. 4인 이상은 인원수에 맞게 현장에서 꼭 메뉴 추가 필수입니다. 연중무휴, 브레이크 타임 없습니다. 그 어떤 초밥보다도 제주만의 향을 담고 싶었습니다. 건강한 맛을 위한 스시의 밥 샤리에 들어가는 배합초를 한라봉 즙과 더불어 최적화된 비율로 구성하였습니다. 싱싱한 활어회와 감칠맛 나는 상큼한 샤리가 어우러지는 한라봉 스시, 제주도 최고의 오션 뷰와 함께하세요. 스시의 전설, 스시의 달인 이봉희 쉐프 초빙입니다. 한라봉스시에서는 25년 경력의 이봉희 쉐프님을 특별 초빙하여 한라봉 즙으로 멋스럽고 맛스러운 스시를 제공하고 있습니다. 제주 스시 달인 이봉희 쉐프님이 재해석한 새로운 스시 요리, 제주 바다가 한눈에 보이는 한라봉스시에서 직접 경험해 보시길 바랍니다. 하이엔드제주, 애월당 애월제과가 인접해 있습니다."
"주소","제주 제주시 애월읍 애월북서길 54"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월북서길 54"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 2550"
"대표번호","0507-1372-9027"
"영업시간","10:00 - 21:00"
"휴무일","없음"
"취급메뉴","제주 은갈치 초밥, 한라봉샐러드"
"주차시설 유무","있음"
"리뷰키워드","뷰가 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요, 재료가 신선해요, 친절해요"
