"관광타입","음식점"
"음식점명","애월 연월"
"개요","제주도 애월, 이름도 예쁜 연꽃마을 하가리에 자리 잡고 있는 연월입니다. 연월은 흐린 날의 달빛, 은은한 달빛을 의미해요. 깊은 밤, 눈부시지 않은 은은한 달빛이 조용히 온 세상을 비추고 있을 때 저도 모르게 마음을 빼앗겨 한참을 멍하니 바라보게 되곤 합니다. 밝지는 않아도 어두운 밤 은은하게 세상을 비추는 달빛처럼 조용하고 따뜻한 가게가 되고 싶은 마음에 연월이라고 이름 짓게 되었습니다. 저는 연월에 방문해 주시는 모든 고객님들이 행복하고 즐겁게, 맛있고 배부르게 식사하시고 기분 좋게 돌아가셨으면 합니다. 제주도민분들께도 여행객분들께도 좋은 추억의 장소이기를 소망합니다. 그러기 위해 늘 더 생각하고 노력하겠습니다. 항상 부족하겠지만 먼저 웃어주시고 맛있게 드셨다고 인사해 주셔서 감사합니다. 그런 고객님들 덕분에 힘낼 수 있어요. 찾아주시는 고객님들 항상 감사합니다. 현재 연월은 돈까스와 우동 위주의 메뉴로 구성되어 있어요. 돈까스를 제외한 메뉴 구성은 바뀔 수 있습니다. 구스 스테이크, 꽃향유가 인접해 있습니다."
"주소","제주 제주시 애월읍 고하상로 102"
"주소(도로명)","제주특별자치도 제주시 애월읍 고하상로 102"
"주소(지번주소)","제주특별자치도 제주시 애월읍 하가리 1335-5"
"대표번호","0507-1330-6842"
"영업시간","10:30 - 19:00"
"휴무일","매주 일요일"
"취급메뉴","양파돈가스, 비빔우동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 재료가 신선해요, 특별한 메뉴가 있어요"
