"관광타입","음식점"
"음식점명","애월 고불락"
"개요","100년 고택에서 먹는 힙한 노포갬성 식당 고불락입니다. 고불락은 대한민국 유일 상추 효소밥을 먹을 수 있는 식당입니다. 모든 메뉴 포장 가능, 게스트하우스 운영 중입니다. 1. BTS 정국이 인정한 맛집으로 유명합니다. 2. 상추 밥은 고불락에서만 맛볼 수 있는 고불락의 시그니처 메뉴입니다. 3. 고불락은 전통적인 고등어쌈밥을 벗어나 고등어조림, 상추 밥으로 고등어 쌈밥을 재해석했습니다. 4. 고불락은 부부가 운영하는 규모가 작은 소담한 식당입니다. 내 가족의 한 끼를 준비하는 마음으로 운영합니다. 5. 가족세트를 주문하시면 고등어조림, 상추 밥 및 다양한 메뉴를 한 번에 즐기실 수 있어서 가성비가 좋습니다. 6. 고불락의 모든 메뉴는 포장 가능합니다. 7. 저녁으로는 고불락 메뉴를 안주 삼아 시원한 맥주나 소주 한잔 가능합니다. 8. 고불락식당 바로 옆에 고불락 게스트하우스도 같이 운영하고 있습니다. 제주도에서 맛보는 엄마의 손맛 고불락에서 경험해 보세요. 소화가 잘 되는 효소 밥, 맛있고 편하게 드실 수 있는 상추 밥이 있으며 단체 손님들이 오시면 드실 수 있는 가족세트 구성까지 있으니 많은 관심과 이용 바랍니다. 제주살레, 고불락게스트하우스가 인접해 있습니다."
"주소","제주 제주시 애월읍 고내로7길 45-12"
"주소(도로명)","제주특별자치도 제주시 애월읍 고내로7길 45-12"
"주소(지번주소)","제주특별자치도 제주시 애월읍 고내리 1164-1"
"대표번호","0507-1400-0393"
"영업시간","08:00 - 21:00"
"휴무일","전화문의"
"취급메뉴","고등어조림, 도새기김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요"
