"관광타입","음식점"
"음식점명","해월정"
"개요","제주 보말 요리 전문 맛집으로, 자신 있는 저희만의 비법으로 만들어요. 또한 TV 맛있는녀석들에 방영된 인증 맛집입니다. 제주 본연의 맛 그대로 싱싱한 해산물은 물론, 깊은 맛을 경험하실 수 있습니다. 보말, 성게, 전복, 톳 등 다양하고 신선한 해산물이 언제든 준비되어 있고 제주 손맛 느낄 수 있는 음식들을 선물해 드려요. 제주 참맛을 느끼고 싶은 분들은 꼭 오시길 바랍니다. 발리 인 제주, 제주바다펜션이 인접해 있습니다."
"주소","제주 제주시 구좌읍 해맞이해안로 2340"
"주소(도로명)","제주특별자치도 제주시 구좌읍 해맞이해안로 2340"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 종달리 608"
"대표번호","064-782-5664"
"영업시간","08:00 - 18:30"
"휴무일","없음"
"취급메뉴","보말칼국수, 보말죽"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 뷰가 좋아요"
