"관광타입","음식점"
"음식점명","초밥공장"
"개요","초밥공장은 제주도 동쪽 아름다운 월정리 바다 인근에 숙성회를 전문으로 하는 작은 초밥집입니다. 좋은 쌀을 엄선하여 초밥에 기본이 되는 맛있는 밥을 만들고 있으며 츠모토식으로 위생적인 전처리후에 생선의 부드러운 식감과 지방의 풍미 감칠맛을 살리기 위해 저온 침지 숙성 방식을 사용합니다. 초밥공장의 모든 메뉴는 대부분 제주의 제철 생선으로 새벽시장에서 공수한 재료에 따라 구성이 달라집니다. 생선의 가장 맛있는 숙성 시간과 선도 유지를 위해 한정 수량으로 재료 소진 시 조기 마감될 수 있습니다. 차를 가져오실 경우 매장 앞 10대 이상의 넉넉한 주차 공간이 있으니 편하게 이용해 주시면 됩니다. 맛있고 가성비 좋은 한 끼의 식사가 될 수 있도록 노력하겠습니다. 감사합니다. 비긴어게인펜션, 월정국수가 인접해 있습니다."
"주소","제주 제주시 구좌읍 월정3길 7"
"주소(도로명)","제주특별자치도 제주시 구좌읍 월정3길 7"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 월정리 1896-13"
"대표번호","0507-1344-4540"
"영업시간","12:00 - 20:00"
"휴무일","매주 화요일"
"취급메뉴","카이센동, 사케동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 뷰가 좋아요, 혼밥하기 좋아요"
