"관광타입","음식점"
"음식점명","인손"
"개요","포장은 오시기 전 미리 연락 주세요. 인손은 밥집이 아니고 술집입니다. 홀에서는 꼭 술을 드셔야 해요. 오픈하는 5시만 예스 키즈, 이후 시간은 자리가 몇 개 없어 어쩔 수 없는 노키즈존입니다. 제주의 신선한 딱새우 회, 그리고 최상급 참다랑어 사시미를 비롯하여 맛있는 안주들이 있습니다. 오후 5시부터 밤 11시까지 열어둬요. 재료가 떨어지면 조금 일찍 마감할 수도 있습니다. 7시 이후 오시기 전 재고 확인 전화 주시면 더 좋아요. 미리네미용실, 플로아테크가 인접해 있습니다."
"주소","제주 제주시 구좌읍 세화4길 10"
"주소(도로명)","제주특별자치도 제주시 구좌읍 세화4길 10"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 세화리 1448-1"
"대표번호","010-4324-7733"
"영업시간","17:00 - 23:00"
"휴무일","매주 월요일, 일요일"
"취급메뉴","참치회, 딱새우 회"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 혼술하기 좋아요, 기본 안주가 좋아요"
