"관광타입","음식점"
"음식점명","송당퐁닭송당퐁당"
"개요","제주 특산물인 제주 고사리, 구좌 감자, 구좌 당근, 제주산 묵은지 그리고 국산 재료들만 사용하여 맛을 낸 국물 닭볶음탕 앤 펍으로 수제 맥주, 와인, 내추럴 와인도 함께 즐기실 수 있는 제주에서 가장 제주스러운, 오롯이 자연을 만나고 여유로움을 느낄 수 있는 송당마을에 있습니다. 재료의 신선함을 유지하기 위해 매일 장을 보고 당일 소진할 수 있는 재료만 준비하고 있습니다. 주류 포장은 상시 20퍼센트 할인됩니다. 식사 외에 맥주나 와인만 드시고 가셔도 무방합니다. 단체 및 예약 문의는 전화로 부탁드려요. 소로소로, CU 제주송당마을점이 인접해 있습니다."
"주소","제주 제주시 구좌읍 중산간동로 2281-3"
"주소(도로명)","제주특별자치도 제주시 구좌읍 중산간동로 2281-3"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 송당리 1389-4"
"대표번호","0507-1370-0412"
"영업시간","12:00 - 23:00"
"휴무일","매주 일요일"
"취급메뉴","제주 고사리 국물 닭볶음탕, 제주산 묵은지 국물 닭볶음탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 인테리어가 멋져요, 매장이 청결해요"
