"관광타입","음식점"
"음식점명","카페책자국"
"개요","제주 동쪽 끝에 위치한 카페책자국은 숲속 작은 산장의 서재 같은 분위기에서 편안하게 책을 보며 차를 마실 수 있는 북 카페이자, 그림으로 읽는 세상, 어떤 여행, 배낭 속 책 한 권의 3가지 테마로 제주 여행자들에게 추천하고 싶은 책을 판매하는 북셀렉샵입니다. 주인장 부부가 세계를 여행하며 품어온 소품들과 명화가 담긴 도록들로 꾸며진 공간에서 잠시 꿈꾸듯 머물다 가세요. 밭담사이, 종달부부가 인접해 있습니다."
"주소","제주 제주시 구좌읍 종달로1길 117"
"주소(도로명)","제주특별자치도 제주시 구좌읍 종달로1길 117"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 종달리 563"
"대표번호","010-3701-1989"
"영업시간","10:30 - 18:00"
"휴무일","매주 화요일"
"취급메뉴","아메리카노, 청귤카푸치노"
"주차시설 유무","없음"
"리뷰키워드","읽을만한 책이 많아요, 인테리어가 멋져요, 친절해요, 집중하기 좋아요, 커피가 맛있어요"
