"관광타입","음식점"
"음식점명","삼다버거"
"개요","애견 동반은 불가합니다. 1인 조리라 6인 이상 단체 손님, 주문은 받지 않습니다. 5시 마감 후 빵 만들고 있어서 조금 일찍 닫아요. 2012년부터 수제 버거 가게 운영 중입니다. 빵은 매장에서 반죽부터 발효하여 직접 구워내고 있어요. 고기는 호주산 최고 등급 목심, 갈빗살로 매일 오전 원육 손질하여 매장에서 갈아 쓰고 있어요. 신선하게 만들기 위해 야채, 다른 모든 재료는 소량 준비하여 당일 사용하고 있습니다. 포장은 전화 주문하시면 20분 정도 걸려요. 홀 손님은 매장 방문 후 주문하시면 됩니다. 조리 시간은 15분 정도 걸립니다. 저희 가게는 부부가 운영 중이에요. 손님들께 좋은 공간, 친절하게 그리고 햄버거 잘 만들기 위해 많은 고민을 하는 가게입니다. 멀리까지 찾아주셔서 너무너무 감사합니다. 만수농장, 하늘래레스토랑이 인접해 있습니다."
"주소","제주 제주시 구좌읍 선유로 80"
"주소(도로명)","제주특별자치도 제주시 구좌읍 선유로 80"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 김녕리 4696"
"대표번호","0507-1409-4503"
"영업시간","10:00 - 17:00"
"휴무일","매주 목요일, 금요일"
"취급메뉴","삼다버거, 돌하르방 치즈버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 뷰가 좋아요, 인테리어가 멋져요, 양이 많아요"
