"관광타입","음식점"
"음식점명","돌담너머당근"
"개요","돌담너머당근은 당근 농장이자 MINI 당근 테마 복합문화공간입니다. 1940년대 지어진 제주 돌집을 리모델링하여 제주 정취를 고스란히 느낄 수 있으며 일부 현대적 미감을 가미하여 제주스러움 더하기 세련미를 느낄 수 있도록 조성하였습니다. 특히 내부 공간에 보이는 고목과 흙담으로 만든 파티션은 기존 40년대 지어진 내부 흙벽을 살려 파티션으로 탈바꿈하였고, 내부 바닥은 반짝이지만 건축 재료인 바닥 콘크리트를 투명하게 그대로 노출하여 전혀 거부감이 없는 세련되고 편안한 공간을 연출하였습니다. 천정의 고목은 제주 돌집과 찰떡궁합의 조화를 이룹니다. 전통과 현대의 조화로움을 느낄 수 있는 제주 돌집 돌담너머당근은 공간 그 자체가 예술적이라 할 수 있습니다. 어느 내외부 방향에서 카메라 셔터를 눌러대도 좋은 사진 멋진 사진을 얻을 수 있는 특별한 공간입니다. 대수길다방, 평대스낵이 인접해 있습니다."
"주소","제주 제주시 구좌읍 대수길 22"
"주소(도로명)","제주특별자치도 제주시 구좌읍 대수길 22"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 평대리 2033-6"
"대표번호","0507-1381-8264"
"영업시간","11:00 - 17:30"
"휴무일","매주 월요일"
"취급메뉴","당근듬뿍케잌, 우리밀 당근식빵"
"주차시설 유무","있음"
"리뷰키워드","음료가 맛있어요, 빵이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 인테리어가 멋져요"
