"관광타입","음식점"
"음식점명","더슬로우"
"개요","THE SLOW는 제주 동쪽 월정리 해수욕장에 위치한 텍사스식 바베큐 풀드포크 전문점으로 플래터, 그릴드치킨, 풀드포크랩, 샐러드파스타, 아롱사태냉채, 그릴드 치킨, 풀드포크피자 등 맛있는 음식이 준비되어있는 매장입니다. 조용하고 한적한 공간에서 바다를 바라보며 여유를 즐기고자 한다면 단연 월정리 더슬로우로에서 맞이하겠습니다. 월정리포구, 배롱개가 인접해 있습니다."
"주소","제주 제주시 구좌읍 해맞이해안로 430 2층"
"주소(도로명)","제주특별자치도 제주시 구좌읍 해맞이해안로 430"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 월정리 650"
"대표번호","070-8648-1605"
"영업시간","11:00 - 22:00"
"휴무일","매주 수요일"
"취급메뉴","감자튀김, 샐러드파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 특별한 메뉴가 있어요, 재료가 신선해요"
