"관광타입","음식점"
"음식점명","우드스푼 구좌 세화점"
"개요","구좌 세화해수욕장 인근 청정 제주의 아름다운 맛이 살아있는 고품격 덮밥집 우드스푼입니다. 정직하고 신선한 식재료를 사용하여 정성을 다해 조리하겠습니다. 구좌여행시 꼭 들려야 할 맛집입니다. 모던하고 깔끔한 인테리어와 정성가득 푸짐한 음식이 반기는 곳 머무시는 시간동안 행복한 시간이 되도록 최선을 다하겠습니다. 세화성은감리교회, 돼지앤이 인접해 있습니다."
"주소","제주 제주시 구좌읍 세평항로 38 1층"
"주소(도로명)","제주특별자치도 제주시 구좌읍 세평항로 38"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 세화리 3642-5"
"대표번호","0507-1362-2398"
"영업시간","11:00-20:00"
"휴무일","매주 금요일"
"취급메뉴","갈치덮밥, 흑돼지덮밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 양이 많아요"
