"관광타입","음식점"
"음식점명","종달리엔심야식당"
"개요","종달리의 아주 작은 식당입니다. 매일밤 저희가 감당 할 수 있는 만큼 영업을 하고 있습니다. 예약자 우선 좌석배정으로 영업중입니다. 좌석이 있다면 당일 방문도 가능하지만 보통 예약으로 마감됩니다. 당일 방문 전이라도 꼭 좌석유무를 전화로 확인 후 방문해주세요. 방문 예정이시라면 당일에라도 예약문의를 부탁드립니다. 비어있는 가능한 시간대로 안내드립니다. 예약은 방문일 기준 일주일전부터 받고있습니다. 당일예약도 가능하나 원하는 시간대에 방문을 원하신다면 최소 하루전, 당일의 오전까지 문의주시는게 좋습니다. 휴무는 매주 화, 수 정기휴무입니다. 문의는 순차적으로 답변드리고있지만 바로 답변이 어려운점 양해 부탁드립니다. 문의는 종달리엔인스타그램 dm, 문자 010 4470 5768 부탁드립니다. 전화 문의는 당일예약이며 영업시간이라 문자, 디엠 확인이 어려울때만 부탁드립니다. 혼술객들과 소수의 손님들이 각자 조용한 저녁식사와 간단한 술로 저녁시간을 보내는 시골의 작은 식당입니다. 그리 대단한 서비스도 없고, 엄청난 맛도 아니라고 생각합니다. 하지만 7년이란 시간을 한자리에서 꾸준히 불을 켤 수 있었던 것은 이 작은 식당의 존재의 이유를 이해해주시고 함께 해주신 손님들 덕분이라고 생각합니다. 대부분의 자리가 1인석과 2인석인 이유도 여기에 있습니다. 4인석은 한테이블이며 일행당 입장가능 최대인원은 4인까지입니다. 기본적 노키즈존 운영입니다. 종달리서동복지회관, 꽃과해녀가 인접해 있습니다."
"주소","제주 제주시 구좌읍 종달로7길 15"
"주소(도로명)","제주특별자치도 제주시 구좌읍 종달로7길 15"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 종달리 1935-1"
"대표번호","0507-1411-5768"
"영업시간","17:30-22:30"
"휴무일","매주 화요일, 수요일"
"취급메뉴","제주달고기튀김, 흑돼지 야끼소바"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요, 인테리어가 멋져요"
