"관광타입","음식점"
"음식점명","월정리 꺼멍스"
"개요","제주, 단 하나의 특별한 흑돼지 전문점입니다. 최상급 1퍼센트 흑돼지를 전문 마스터가 직접 그릴링하여 가장 맛있는 상태로 플레이팅 하여 서비스 되는 흑돼지 훈연 한판입니다. 흑돼지 다리를 통으로 요리하여 압도적인 비주얼과 맛을 느낄 수 있는흑돼지 슈바인 학센이 있습니다. 최고의 재료와 최상의 서비스로 오로지 손님의 기분 좋은 식사를 위해 최선을 다하는 특별한 분위기의 흑돼지 전문점입니다. 세븐일레븐, 원데이제주가 인접해 있습니다."
"주소","제주 제주시 구좌읍 행원로1길 26"
"주소(도로명)","제주특별자치도 제주시 구좌읍 행원로1길 26"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 행원리 1537-10"
"대표번호","0507-1380-0668"
"영업시간","12:00-22:00"
"휴무일","전화문의"
"취급메뉴","흑돼지 훈연 바베큐, 흑돼지 슈바인학센"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 재료가 신선해요, 매장이 청결해요"
