"관광타입","음식점"
"음식점명","제주삼다장 구좌월정리세화비자림"
"개요","제주 비자림 맛집으로 유명한 제주삼다장 입니다. 단체손님도 많이 찾아주시고, 제주도민분들도 많이 많이 찾는 비자림 근처 맛집 입니다. 메뉴로는 삼다장, 돌문어미역국, 생갈치조림 등 어린아이도 먹을 수 있는 전복크림덮밥, 소바루덮밥도 있습니다. 주변 관광지로는 비자림, 세화해변, 월정리, 메이즈랜드 등이 가까이 있습니다. 비자림, 비자향, 발루다가 인접해 있습니다."
"주소","제주 제주시 구좌읍 비자숲길 15 구좌 제주삼다장"
"주소(도로명)","제주특별자치도 제주시 구좌읍 비자숲길 15"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 평대리 3200-5"
"대표번호","010-2774-1351"
"영업시간","11:00~19:00"
"휴무일","매주 화요일"
"취급메뉴","삼다장, 갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요"
