"관광타입","음식점"
"음식점명","비자림길 구좌본점"
"개요","안녕하세요. 비자림 길을 찾아주신 여러분들의 행복을 바라겠습니다. 제주도는 아직도 풍경이 아름다운 추억을 담아갈 수 있는 알려지지 않은 수많은 길이 많습니다. 얼마 전부터 비자림을 찾아주신 관광객들이 늘면서 비자림길에 대한 관심도도 높아졌습니다. 조용하고 경치좋은 이 곳 비자림을에 오시면 비자림 길을 찾아주세요. 맛있는 식사하시면서 소중한시간, 행복한추억 만들어가세요. 감사합니다. 평대해수욕장, 형대초등학교, 평대림, 독채펜션한비가 인접해 있습니다."
"주소","제주 제주시 구좌읍 비자림로 2682"
"주소(도로명)","제주특별자치도 제주시 구좌읍 비자림로 2682"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 평대리 1561-1"
"대표번호","0507-1375-5118"
"영업시간","09:00 - 19:00"
"휴무일","매주 수요일"
"취급메뉴","흑돼지정식, 우럭정식"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 재료가 신선해요, 주차하기 편해요"
