"관광타입","음식점"
"음식점명","고래날다 월정리본점"
"개요","확장이전 했습니다. 제주 월정리해변 바로 근처에 위치한 고래날다, 제주 최고급 흑돼지로 요리한 숯불구이 한정식과 제주돌문어덮밥, 제주돌문어해물라면, 제주딱새우장덮밥, 제주한치물회국수가 준비되어 있고 모든 메뉴들이 시그니처메인메뉴라서 맛있게 드실수 있습니다. 반려동물 동반 가능이지만 케이지 필수입니다. 정말 죄송합니다. 그동안 최소의 수익으로 버텨 왔지만 이제 인건비와 원자재 폭등으로 어쩔 수 없이 가격을 조금 조정합니다. 다만 최상의 재료만을 선택하여 최고의 맛을 보장 하겠습니다. 감사합니다. 하나로농협마트, 꿈꾸는바당엔달빛정원, 모들공간이 인접해 있습니다."
"주소","제주 제주시 구좌읍 월정3길 53-7 1층 고래날다"
"주소(도로명)","제주특별자치도 제주시 구좌읍 월정3길 53"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 월정리 569-1"
"대표번호","064-784-5845"
"영업시간","12:00-23:00"
"휴무일","없음"
"취급메뉴","딱새우장솥덮밥, 돌문어솥덮밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 반찬이 잘 나와요"
