"관광타입","음식점"
"음식점명","바보라면"
"개요","아름다운 제주 바다가 한눈에 보이는 바보라면입니다. 액자처럼 예쁜 통유리창으로 시원한 바다와 해안도로, 하늘이 그림처럼 담겨 경치를 즐기며 식사하실 수 있어요. 후식으로 커피도 제공하고 있습니다. 넓은 해안도로와 산책로를 따라 제주의 낭만과 운치도 즐겨보시고, 식사 후에는 아기자기하고 아름다운 카페나 작은 서점에서 나름의 낭만도 찾아보실 수 있어요. 푸짐한 해물과 고기가 듬뿍 들어가는 해물라면과우삼겹라면이 이곳의 대표 메뉴입니다. 재료는 아낌없이 정직하게 넣어드리고 있어요. 편히 쉬어가시는 아름다운 추억의 공간이 되시기를 바랍니다. 로봇스퀘어, 월정리 이런날엔, 오스모시스가 인접해 있습니다."
"주소","제주 제주시 구좌읍 해맞이해안로 1016"
"주소(도로명)","제주특별자치도 제주시 구좌읍 해맞이해안로 1016"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 한동리 1339-6"
"대표번호","064-784-1160"
"영업시간","10:00 - 18:00"
"휴무일","매주 월요일"
"취급메뉴","딱새우회, 문어숙회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 매장이 청결해요"
