"관광타입","음식점"
"음식점명","전망좋은해선"
"개요","제주 서부두에 위치한 최고의 전망을 자랑하는 해선횟집입니다. 넓은 주차장이 완비되어 있으며, 제주도가 인증한 명품횟집 입니다. 전어회, 가오리, 한치, 소라, 돔껍질, 멍게, 문어, 딱새우, 전복, 고등어회, 갈치회 등 여러 종류의 회를 기본 음식으로 드실 수 있으며 리필도 가능 합니다. 대통령님도 다녀간 횟집이며, 노을이 지는 제주바다를 감상하며 맛있는 회 드시러 오시면 완벽한 친절과 서비스를 제공하겠습니다. 해진횟집, 끄티 탑동이 인접해 있습니다."
"주소","제주 제주시 서부두길 26"
"주소(도로명)","제주특별자치도 제주시 서부두길 26"
"주소(지번주소)","제주특별자치도 제주시 건입동 1435-2"
"대표번호","0507-1333-3988"
"영업시간","11:00 - 23:00"
"휴무일","없음"
"취급메뉴","매운탕, 한치튀김"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 재료가 신선해요, 주차하기 편해요"
