"관광타입","음식점"
"음식점명","꽃진미"
"개요","저희 꽃진미는 부두에서 가까운 거리에 위치한 해장국, 내장탕, 육개장, 닭개장, 장어탕, 묵은지조림, 모둠수육을 맛있게 파는 식당입니다. 저희 메뉴중 묵은지 조림과 모둠수육을 제외한  나머지 음식에 돌솥밥이 기본으로 같이 나가며 음식을 먹고 난 후에 따뜻한 숭늉도 먹을 수 있습니다. 저희 꽃진미가 올레길18코스 중 사라봉으로 가는 건널목에 위치에 있어 맛있게 식사하시고 사라봉 구경도 하시면 좋습니다. 해동이네해장국, 금아빌라가 인접해 있습니다."
"주소","제주 제주시 임항로 240"
"주소(도로명)","제주특별자치도 제주시 임항로 240"
"주소(지번주소)","제주특별자치도 제주시 건입동 882-12"
"대표번호","064-749-5101"
"영업시간","06:00 - 20:00"
"휴무일","없음"
"취급메뉴","소머리해장국, 내장탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 재료가 신선해요, 가성비가 좋아요, 매장이 넓어요"
