"관광타입","음식점"
"음식점명","삼미횟집 제주공항점"
"개요","창밖을 바라만 봐도 힐링이 되는 제주도의 숨은 명소 도두항 이호테우해변에 위치, 예쁜 노을과 함께 감성까지 즐길 수 있는 횟집입니다. 끊임없이 나오는 삼미의 밑반찬, 제주도민 소비자 만족도 조사 4.88점입니다. 식재료에 있어 한점의 부끄럼도 없습니다. 당장 눈앞에 보이는 욕심에 불신을 사고 싶지 않습니다. 저희 매장을 찾아주시는 모든 분들께 삼미횟집이 제주도에서의 최고의 순간이었다란 감동을 드리고자 합니다. 1시간 이면 충분합니다. 1시간 안에 감동을 선사하겠습니다. 1시간 동안 온 정성을 다해 서비스하겠습니다. 돈마니육가공, 블루비치펜션이 인접해 있습니다."
"주소","제주 제주시 도두항서5길 1"
"주소(도로명)","제주특별자치도 제주시 도두항서5길 1"
"주소(지번주소)","제주특별자치도 제주시 도두일동 2617-1"
"대표번호","0507-1469-6403"
"영업시간","11:00 - 22:30"
"휴무일","없음"
"취급메뉴","전복, 삼계탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 뷰가 좋아요, 친절해요"
