"관광타입","음식점"
"음식점명","도두후레쉬"
"개요","제주공항 인근, 이호테우 해수욕장, 무지개 해안도로에 인접한 수제 햄버거 테이크 아웃 전문점 도두후레쉬입니다. 저희 도두후레쉬는 신선하고 두툼하면서도 부드럽고 육즙이 좔좔 흐르는 패티를 위해 한 번 작업한 고기를 냉동, 해동하지 않음을 원칙으로 하고 있으며, 매일 패티 만드는 작업을 하는 등 신선한 음식을 만들기 위해 최선을 다하고 있습니다. 특히 저희가 직접 배합하여 만드는 새롭지만 낯설지 않은 수제소스와 버거 시즈닝은 남녀노소 관계없이 맛있게 드시기에 아주 좋습니다. 맛있게 온 힘을 다해 만들겠습니다. 주차는 갓길에 편하게 하셔도 되고, 상가 건물 양측에도 가능합니다. 전화주문은 받지 않으니 양해 바랍니다. 스토리하우스, 도리초등학교가 인접해 있습니다."
"주소","제주 제주시 도공로 34 도두후레쉬 Dodu Fresh"
"주소(도로명)","제주특별자치도 제주시 도공로 34"
"주소(지번주소)","제주특별자치도 제주시 도두일동 2549-1"
"대표번호","0507-1447-1114"
"영업시간","09:30-17:00"
"휴무일","매주 화요일"
"취급메뉴","베이컨에그버거, 빅더블스파이시버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 가성비가 좋아요"
