"관광타입","음식점"
"음식점명","도두반점 제주사수점"
"개요","제주도 바닷가에 서식하는 해초 몸과 제주도 흑돼지고기가 들어간 사골육수의 깊고 배지근한 국물의 흑돼지몸짬뽕, 그때그때 볶아 불맛이 살아있는 도두반점만의 흑돼지짜장면과 도두볶음밥, 두툼한 등심으로 만든 바삭하고 쫀득한 식감의 흑돼지탕수육, 쫀득쫀득 껍데기살과 부드러운 속살의 완벽한 조화 흑돈 파육, 맛도 좋고 분위기도 좋은 도두반점 제주사수본점 입니다. GS25, 빽다방이 인접해 있습니다."
"주소","제주 제주시 서해안로 317 2층"
"주소(도로명)","제주특별자치도 제주시 서해안로 317"
"주소(지번주소)","제주특별자치도 제주시 도두이동 836-8"
"대표번호","064-745-2915"
"영업시간","11:30~21:30"
"휴무일","전화문의"
"취급메뉴","흑돼지몸짬뽕, 도두볶음밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 주차하기 편해요, 뷰가 좋아요, 가성비가 좋아요, 매장이 넓어요"
