"관광타입","음식점"
"음식점명","촌뜨기화로구이  "
"개요","주 메뉴인 돼지고기 특수 부위 양념구이와 닭목살, 닭갈비 숯불구이를 판매하고 있습니다. 기본 서비스로 계란찜과 새송이, 술안주용 해장국을 1회 기본 제공해 드리고 있습니다. 사이드 메뉴로는 돼지껍데기, 날치알김가루밥, 계란찜, 해장국물, 김치찌게과 냉면 밀면이 있습니다. 많은 방문 부탁드립니다. 맛과 품질 거기에 친절한 서비스까지 보태어 최상의 가치서비스를 실천하는 업체가 되겠습니다. 에린, 다동뼈감탕이 인접해 있습니다."
"주소","제주 제주시 도남로 117"
"주소(도로명)","제주특별자치도 제주시 도남로 117"
"주소(지번주소)","제주특별자치도 제주시 도남동 68-6"
"대표번호","0507-1497-8597"
"영업시간","16:00 - 23:00"
"휴무일","첫째, 셋째 일요일"
"취급메뉴","닭목살, 돼지특수부위"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 특별한 메뉴가 있어요"
