"관광타입","음식점"
"음식점명","킹콩부대찌개 제주종합청사점"
"개요","킹콩부대찌개는 단지 맛있는 부대찌개를 만들려 했었던 노력과 정성을 알아준 손님들께서 만들어주신 고객의 브랜드 입니다. 최상의 신선한 재료와 진한 육수로 만들어 가족의 건강까지 생각하는 맛있는 부대찌개입니다. 공깃밥과 라면사리가 무한 리필인 푸짐하게 즐길 수 있는킹콩에 방문한 모든 고객이 극찬한 최고의 맛입니다. 배부름의 즐거움 킹콩부대찌개입니다. 워릭프랭클린, 리본왁싱이 인접해 있습니다."
"주소","제주 제주시 청사로3길 11"
"주소(도로명)","제주특별자치도 제주시 청사로3길 11"
"주소(지번주소)","제주특별자치도 제주시 도남동 664-3"
"대표번호","064-756-5969"
"영업시간","10:00-22:00"
"휴무일","없음"
"취급메뉴","킹콩부대찌개, 텍사스부대찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 친절해요, 매장이 넓어요"
