"관광타입","음식점"
"음식점명","덕성원 이도점"
"개요","70년 전통 3대째 운영중인 덕성원 이도점 입니다. 제주시내에 위치하여 접근에 용이합니다. 원탁테이블 보유한 룸이 2개 있으며,룸 연결 시 최대 30명까지 수용가능한 룸을 보유하고 있어 단체회식 하기에 좋습니다. 신선한 재료와 전통있는 맛으로 정성을 다해 모시겠습니다. 덕성원은 꽃게짬뽕이 맛있다고 입소문이 나있지만 고추짬뽕과 간짜장도 맛있습니다. 탐라중학교, 올리브영이 인접해 있습니다."
"주소","제주 제주시 신설로11길 8-6"
"주소(도로명)","제주특별자치도 제주시 신설로11길 8-6"
"주소(지번주소)","제주특별자치도 제주시 아라이동 3008-3"
"대표번호","064-759-0010"
"영업시간","11:00 - 21:00"
"휴무일","둘째, 넷째 월요일"
"취급메뉴","짜장면, 탕수육"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 단체모임 하기 좋아요, 양이 많아요"
