"관광타입","음식점"
"음식점명","호이 "
"개요","바다에 물질하러 떠나는 해녀들은 물질가자는 말을 호이가자라고 합니다. 제주에서 태어나 해녀의 자식으로 자란 우리에게 바다는 어머니였고, 어머니는 바다였습니다. 어머니가 평생을 떠났던 호이, 해녀의 아들로 살아오며 평생을 생각한 바다, 이 모든걸 정성으로 접시에 담았습니다. 해녀 어머니가 직접 잡은 해산물을 자연산 그대로 공수해 신선하며, 최상의 재료만 선별해 취급합니다. 호이 메뉴는 양식이지만, 레스토랑이 아닌 키친인 이유는 제주에서 태어난 저희가 식당을 하며 할수있는 다양한 음식들을 호이에서 보여드리고 싶기 때문입니다. 앞으로도 보여드릴 다양하고 신선한 요리들을 기대해주세요. 찾아오시는 길은 대중교통 이용 시 43 다시 1버스 이용하세요. 한일베라체 하차후 탐라중학교 방면 도보 5분 거리에 있습니다. 택시 이용 시한일베라체 탐라중학교 후문 하차후 바닷가 방면으로 도보 1분 거리에 있습니다. 자차 이용시 호이 검색 후 주변 골목주차 가능하며, 가게 근처 공영 주차장 주차 가능합니다. 현재 무료 이용이 가능합니다. 탐라중학교, 올리브영이 인접해 있습니다."
"주소","제주 제주시 신설로 42 1층"
"주소(도로명)","제주특별자치도 제주시 신설로 42"
"주소(지번주소)","제주특별자치도 제주시 아라이동 3005-1"
"대표번호","0507-1479-7804"
"영업시간","11:00-15:00/19:30"
"휴무일","매주 일요일"
"취급메뉴","치킨 토마토 파스타, 고르곤 스테이크 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 매장이 청결해요"
