"관광타입","음식점"
"음식점명","텐동아우라  "
"개요","보다 바삭하게 부드럽고 맛있는 튀김을 위해 우리는 튀김의 가치와 문화를 전달하기위해 노력합니다. 갓 튀긴 튀김이 맛있다라는 슬로건으로 주문 즉시 재료 하나하나 정성스럽게 조리합니다. 오픈주방으로 음식을 조리하고 제공하는 모든 과정을 고객님께 공개함으로써 청결을 약속합니다. 텐동아우라를 방문할 때마다 즐거운 경험을 할수 있도록 고객의 만족이 100퍼센트가 될때까지 지속적으로 노력합니다. 음식이상의 가치를 고객에게 전달하고자 합니다. 제주대학교정문, 메가커피가 인접해 있습니다."
"주소","제주 제주시 제주대학로7길 9 1층 아우라키친"
"주소(도로명)","제주특별자치도 제주시 제주대학로7길 9"
"주소(지번주소)","제주특별자치도 제주시 아라이동 35-9"
"대표번호","0507-1325-3774"
"영업시간","10:40 - 18:00"
"휴무일","매주 일요일"
"취급메뉴","아우라텐동, 돌문어텐동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 청결해요, 친절해요, 혼밥하기 좋아요, 특별한 메뉴가 있어요"
