"관광타입","음식점"
"음식점명","파이굽는 돌담집"
"개요","안녕하세요. 파이굽는 돌담집입니다. 건강상의 이유로 방문포장만 진행하고자 합니다. 저희 파이굽는 돌담집의 분위기를 즐기시던 고객님들께 불편을 드려 죄송합니다. 많은 고객님께서 사랑해 주시는 파이의 맛과 퀄리티를 유지하기 위하여 크나큰 결심을 하게 되었습니다. 늘 고객님께 만족을 드릴 수 있도록 노력하겠습니다. 매장 내 준비되어 있는 테이블은 고객님들이 주문 후 기다리시는 동안 이용하실 수 있도록 마련했습니다. 건강이 회복되면 추후에 다시 공지해 드리도록 하겠습니다. 감사합니다. 인다마을 버스정류장, 베짱이컴퍼니, 수이란이 인접해 있습니다."
"주소","제주 제주시 아란9길 48"
"주소(도로명)","제주특별자치도 제주시 아란9길 48"
"주소(지번주소)","제주특별자치도 제주시 아라일동 6054-11"
"대표번호","064-746-5282"
"영업시간","11:00-20:30"
"휴무일","매주 토요일, 일요일"
"취급메뉴","호두파이, 피칸파이"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 매장이 청결해요, 가성비가 좋아요"
