"관광타입","음식점"
"음식점명","중식당 동백"
"개요","올레길 17코스가 지나는 용두암 입구에 위치해 있습니다. 주변에 해안 산책로 조성이 잘 되어있어 맛있는 식사 하시고 산책하기 최고입니다. 신선한 재료와 제주산 돼지고기, 살아있는 전복을 사용합니다. 조리 시, 서빙 시 항상 마스크를 착용하며 위생 관리를 철저히 하고 있습니다. 1인 셰프 운영 매장이기 때문에 조리 시간이 조금 더 걸릴수는 있지만, 그만큼 정성 들인 맛있는 음식을 제공해 드립니다. 해원초가집, 해원횟집이 인접해 있습니다."
"주소","제주 제주시 서해안로 687-6 중식당동백"
"주소(도로명)","제주특별자치도 제주시 서해안로 687-6"
"주소(지번주소)","제주특별자치도 제주시 용담이동 488"
"대표번호","0507-1348-5016"
"영업시간","11:30~18:30"
"휴무일","매주 일요일"
"취급메뉴","해물짬뽕, 제주돼지 탕수육"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 주차하기 편해요, 뷰가 좋아요"
