"관광타입","음식점"
"음식점명","제바나횟집"
"개요","1. 용두암 바다가 바로 보이는 전망좋은 횟집입니다. 2. 정식메뉴들은 점심특선이지만, 아침, 점심, 저녁 전부 주문가능합니다. 3. 회를 주문했을 때는 새우와 한치회 자리돔 문어초회 튀김 등, 그때그때 제철에 맞는 스끼다시들이 푸짐하게 나옵니다. 4. 음식에 진솔함이 담겨있는 느낌입니다. 음식하나하나가 굉장히 정성스럽고, 제주에서 오랫동안 운영된만큼 믿음과 신뢰가 가는 횟집입니다. 시로코, 제주대게가 인접해 있습니다."
"주소","제주 제주시 서해안로 634"
"주소(도로명)","제주특별자치도 제주시 서해안로 634"
"주소(지번주소)","제주특별자치도 제주시 용담삼동 1003-1"
"대표번호","064-722-5005"
"영업시간","08:30~22:00"
"휴무일","전화문의"
"취급메뉴","전복죽, 갓돔"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 매장이 넓어요, 재료가 신선해요, 친절해요"
