"관광타입","음식점"
"음식점명","동화로연탄구이 삼화점"
"개요","사실 고기하면 질좋은 고기도 물론 중요하지만 연탄으로 구워서 먹는 그 고기맛은 무시할 수 없습니다. 질좋은 100퍼센트 제주산 생돼지고기를 사용하고 육즙으로먹는고기, 바짝구워서 먹는고기 양념으로먹는고기 아니면 생을 양념에 찍어먹든지 이렇게 먹어도 맛있고 저렇게 먹어도 맛있어요. 서비스로 나오는 김치찌게도 예술입니다. 꼭 먹으러 오세요. 푸르츠퀸, 동화빌라가 인접해 있습니다."
"주소","제주 제주시 동화로1길 53-20 1층"
"주소(도로명)","제주특별자치도 제주시 동화로1길 53-20"
"주소(지번주소)","제주특별자치도 제주시 화북일동 18-4"
"대표번호","064-751-9992"
"영업시간","16:00~24:00"
"휴무일","첫째, 셋째 화요일"
"취급메뉴","생고기, 양념고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요"
