"관광타입","음식점"
"음식점명","스시 호시카이"
"개요","제주의 풍부한 해산물과 청정 식재료가 최고의 조리기술과 만나 탄생한 스시 호시카이는 정통 스시와 더불어 제주에서만 맛볼 수 있는 어종으로 구성된 새로운 스시를 선보입니다. 스시 호시카이는 국내 고급 스시 레스토랑에서 사용하는 일반적인 단기숙성 식초가 아닌, 일본 내에서도 최고급 스시 레스토랑에서만 취급하고 있는 10년 이상 장기숙성을 시킨 아카스 적초를 쓰고 있습니다. 신협, 제주중앙교회가 인접해 있습니다."
"주소","제주 제주시 오남로 90"
"주소(도로명)","제주특별자치도 제주시 오남로 90"
"주소(지번주소)","제주특별자치도 제주시 오라이동 959-1"
"대표번호","064-713-8838"
"영업시간","12:00~21:00"
"휴무일","전화문의"
"취급메뉴","일식, 초밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 특별한 날 가기 좋아요"
