"관광타입","음식점"
"음식점명","오가다 제주공항점"
"개요","한 잔, 한 잔 좋은 원재료에 정성을 듬뿍 담기에 카페 오가다의 여정엔 시간과 정성이 많이 들어갑니다. 생활 속의 조화로움을 통한 건강한 삶을 추구하는 오가다의 철학이 가득한 공간에서 엄선된 자연의 재료로 오랜 시간 정성 들여 만든 건강한 메뉴와 함께 절로 감탄이 나오는 온전한 순간을 경험해보시기 바랍니다. 공항가는길, 탐라마켓이 인접해 있습니다."
"주소","제주 제주시 공항로 2 2층 오가다 제주공항점"
"주소(도로명)","제주특별자치도 제주시 공항로 2"
"주소(지번주소)","제주특별자치도 제주시 용담이동 2002"
"대표번호","0507-1462-0136"
"영업시간","06:00 - 21:30"
"휴무일","없음"
"취급메뉴","제주 한라봉 라떼, 제주바당 청귤 에이드"
"주차시설 유무","있음"
"리뷰키워드","음료가 맛있어요, 차가 맛있어요, 친절해요, 매장이 청결해요, 특별한 메뉴가 있어요"
