"관광타입","음식점"
"음식점명","면뽑는선생 만두빚는아내"
"개요","제주시 한림읍에 있는 면뽑는선생만두빚는아내는 제주산 한우 양지와 아롱사태만 사용한 수육, 그리고 제주산 돼지고기로 빚은 만두를 사용하는 만두전골 전문점이다. 만두 위에 고기, 버섯 등이 올라간 한우수육버섯만두전골이 인기 메뉴다. 또 다른 메뉴로는 손만둣국, 한우사골만둣국 등이 있다. 전골 위에 올라간 수육은 질기지 않고 부드러우며, 만두 역시 직접 빚은 손만두로 감칠맛이 느껴진다. 만두를 다 먹은 후에는 직접 뽑은 생면을 넣어 먹는데, 쫄깃한 식감이 일품이다. 옹포횟집, 이에프쿠치나가 인접해 있습니다."
"주소","제주특별자치도 제주시 한림읍 옹포리 309"
"주소(지번주소)","제주특별자치도 제주시 한림읍 옹포리 309"
"대표번호","064-796-4562"
"영업시간","10:30~20:30"
"휴무일","매주 수요일"
"취급메뉴","한우수육만두전골, 손만둣국"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 특별한 메뉴가 있어요, 주차하기 편해요"
