"관광타입","음식점"
"음식점명","별돈별 협재해변점"
"개요","협재 바다 앞에 있는 별돈별 협재해변점은 바다 뷰를 보며 흑돼지를 맛볼 수 있는 곳이다. 추천 메뉴는 목살과 오겹살이 나오는 제주도 흑돼지로 기본 찬은 명이나물, 파절이, 묵은지, 기본 소스, 또띠아와 꽈리고추가 나온다. 고기를 구울 때 꽈리고추도 함께 구워 또띠아에 싸 먹는 게 이 집의 별미다. 추가 반찬은 셀프 바에서 편하게 이용할 수 있으며 흑항정살과 흑가브리살, 김치찌개, 공깃밥 2개가 나오는 점심 세트 메뉴도 인기가 좋다. 바다 뷰를 보며 먹을 수 있는 창가 쪽 자리는 대기자가 많아 시간을 여유 있게 잡고 가는 게 좋다. 금성우동, 파리바게뜨가 인접해 있습니다."
"주소","제주특별자치도 제주시 한림읍 협재1길 4"
"주소(도로명)","제주특별자치도 제주시 한림읍 협재1길 4"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1725-1"
"대표번호","064-796-5895"
"영업시간","12:00 - 22:00"
"휴무일","매주 화요일"
"취급메뉴","통항정살, 통가브리살"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요"
