"관광타입","음식점"
"음식점명","복자씨연탄구이"
"개요","복자씨 연탄구이는 탁 트인 제주 바다를 감상하며 제주 근고기를 맛볼 수 있는 식당이다. 대표 메뉴인 흑돼지 근고기는 목살과 오겹살을 섞어 600g 기준으로 제공되며 직원들이 연탄불에 직접 구워주니 어떻게 구우면 맛있을지 고민할 필요가 없다. 육즙 가득 쫀득쫀득 탱탱하게 구워진 고기를 다 먹을 즈음 입가심으로 먹을 수 있는 김치찌개에도 돼지고기가 듬뿍 들어간다. 새콤하고 시원한 열무김치 국수는 입안의 기름기를 산뜻하게 씻어준다. 2층의 고객 전용 무료카페에서는 식사 후 커피 한잔 마시기에도 좋고 웨이팅이 있을 때 편하게 앉아서 기다리기에도 좋은 공간이다."
"주소","제주특별자치도 서귀포시 성산읍 해맞이해안로 2764"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 해맞이해안로 2764"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 오조리 367-1"
"대표번호","064-782-7330"
"영업시간","12:00 ~ 22:00"
"휴무일","없음"
"취급메뉴","흑돼지 근고기, 김치찌개, 백돼지 근고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 뷰가 좋아요, 양이 많아요"
